SUBJ_ID	#TRIAL_FLOW	trial_counter	ReliefChoiceUS	ReliefUS	T.CSM	T.CS_EE	T.CS_UU	shock
RS06	Pavlovian_phase	15	2	76	0	0	1	0
RS06	Pavlovian_phase	16	2	85	1	0	0	0
RS06	Pavlovian_phase	17	1	0	0	1	0	1
RS06	Pavlovian_phase	18	1	0	0	1	0	1
RS06	Pavlovian_phase	19	2	80	1	0	0	0
RS06	Pavlovian_phase	20	2	44	1	0	0	0
RS06	Pavlovian_phase	21	1	0	0	1	0	1
RS06	Pavlovian_phase	22	2	28	0	0	1	0
RS06	Pavlovian_phase	23	1	0	0	1	0	1
RS06	Pavlovian_phase	24	2	36	0	0	1	0
RS06	Pavlovian_phase	25	2	35	0	0	1	0
RS06	Pavlovian_phase	26	1	0	0	1	0	1
RS06	Pavlovian_phase	27	2	27	0	0	1	0
RS06	Pavlovian_phase	28	1	0	0	1	0	1
RS06	Extinction_phase	29	2	51	0	1	0	0
RS06	Extinction_phase	30	2	59	1	0	0	0
RS06	Extinction_phase	31	2	38	0	1	0	0
RS06	Extinction_phase	32	1	0	0	1	0	0
RS06	Extinction_phase	33	2	53	0	0	1	0
RS06	Extinction_phase	34	2	38	0	0	1	0
RS06	Extinction_phase	35	1	0	1	0	0	0
RS06	Extinction_phase	36	2	28	1	0	0	0
RS06	Extinction_phase	37	1	0	0	0	1	0
RS06	Extinction_phase	38	1	0	1	0	0	0
RS06	Extinction_phase	39	1	0	0	1	0	0
RS06	Extinction_phase	40	1	0	0	1	0	0
RS06	Extinction_phase	41	1	0	0	0	1	0
RS06	Extinction_phase	42	1	0	1	0	0	0
RS06	Extinction_phase	43	1	0	0	1	0	0
RS06	Extinction_phase	44	1	0	0	1	0	0
RS06	Extinction_phase	45	1	0	0	0	1	0
RS06	Extinction_phase	46	1	0	0	1	0	0
RS07	Pavlovian_phase	1	1	0	0	1	0	1
RS07	Pavlovian_phase	2	2	27	1	0	0	0
RS07	Pavlovian_phase	3	1	0	0	1	0	1
RS07	Pavlovian_phase	4	2	54	1	0	0	0
RS07	Pavlovian_phase	5	1	0	0	1	0	1
RS07	Pavlovian_phase	6	2	57	1	0	0	0
RS07	Pavlovian_phase	7	2	69	1	0	0	0
RS07	Pavlovian_phase	8	1	0	0	1	0	1
RS07	Pavlovian_phase	9	1	0	0	1	0	1
RS07	Pavlovian_phase	10	1	0	0	1	0	1
RS07	Pavlovian_phase	11	2	46	0	0	1	0
RS07	Pavlovian_phase	12	2	71	0	0	1	0
RS07	Pavlovian_phase	13	2	69	1	0	0	0
RS07	Pavlovian_phase	14	2	72	0	0	1	0
RS07	Pavlovian_phase	15	2	67	1	0	0	0
RS07	Pavlovian_phase	16	1	0	0	1	0	1
RS07	Pavlovian_phase	17	1	0	0	1	0	1
RS07	Pavlovian_phase	18	2	81	1	0	0	0
RS07	Pavlovian_phase	19	2	73	0	0	1	0
RS07	Pavlovian_phase	20	1	0	0	1	0	1
RS07	Pavlovian_phase	21	2	84	0	0	1	0
RS07	Pavlovian_phase	22	2	92	0	0	1	0
RS07	Pavlovian_phase	23	2	96	1	0	0	0
