ID,Config,Phase,Color,Time,value,CSType
RS25,1,Extinction,Blue,last,3,CSplus
RS25,1,Extinction,Yellow,last,7,CSmin1
RS25,1,Extinction,Red,last,7,CSmin2
RS26,2,Pavlovian,Blue,first,5,CSmin2
RS26,2,Pavlovian,Yellow,first,5,CSmin1
RS26,2,Pavlovian,Red,first,2,CSplus
RS26,2,Pavlovian,Blue,last,7,CSmin2
RS26,2,Pavlovian,Yellow,last,7,CSmin1
RS26,2,Pavlovian,Red,last,1,CSplus
RS26,2,Extinction,Blue,first,7,CSmin2
RS26,2,Extinction,Yellow,first,7,CSmin1
RS26,2,Extinction,Red,first,1,CSplus
RS26,2,Extinction,Blue,last,7,CSmin2
RS26,2,Extinction,Yellow,last,7,CSmin1
RS26,2,Extinction,Red,last,7,CSplus
RS27,3,Pavlovian,Blue,first,5,CSmin1
RS27,3,Pavlovian,Yellow,first,4,CSmin2
RS27,3,Pavlovian,Red,first,3,CSplus
RS27,3,Pavlovian,Blue,last,7,CSmin1
RS27,3,Pavlovian,Yellow,last,7,CSmin2
RS27,3,Pavlovian,Red,last,1,CSplus
RS27,3,Extinction,Blue,first,4,CSmin1
RS27,3,Extinction,Yellow,first,2,CSmin2
RS27,3,Extinction,Red,first,5,CSplus
RS27,3,Extinction,Blue,last,7,CSmin1
RS27,3,Extinction,Yellow,last,7,CSmin2
RS27,3,Extinction,Red,last,7,CSplus
RS28,4,Pavlovian,Blue,first,6,CSmin1
RS28,4,Pavlovian,Yellow,first,2,CSplus
RS28,4,Pavlovian,Red,first,3,CSmin2
RS28,4,Pavlovian,Blue,last,7,CSmin1
RS28,4,Pavlovian,Yellow,last,1,CSplus
RS28,4,Pavlovian,Red,last,3,CSmin2
RS28,4,Extinction,Blue,first,2,CSmin1
RS28,4,Extinction,Yellow,first,6,CSplus
RS28,4,Extinction,Red,first,3,CSmin2
RS28,4,Extinction,Blue,last,7,CSmin1
RS28,4,Extinction,Yellow,last,7,CSplus
RS28,4,Extinction,Red,last,6,CSmin2
RS29,5,Pavlovian,Blue,first,2,CSplus
RS29,5,Pavlovian,Yellow,first,6,CSmin2
RS29,5,Pavlovian,Red,first,3,CSmin1
RS29,5,Pavlovian,Blue,last,1,CSplus
RS29,5,Pavlovian,Yellow,last,7,CSmin2
RS29,5,Pavlovian,Red,last,7,CSmin1
RS29,5,Extinction,Blue,first,1,CSplus
RS29,5,Extinction,Yellow,first,3,CSmin2
RS29,5,Extinction,Red,first,3,CSmin1
RS29,5,Extinction,Blue,last,7,CSplus
RS29,5,Extinction,Yellow,last,7,CSmin2
RS29,5,Extinction,Red,last,7,CSmin1
RS30,6,Pavlovian,Blue,first,7,CSmin2
RS30,6,Pavlovian,Yellow,first,1,CSplus
RS30,6,Pavlovian,Red,first,7,CSmin1
RS30,6,Pavlovian,Blue,last,4,CSmin2
RS30,6,Pavlovian,Yellow,last,3,CSplus
RS30,6,Pavlovian,Red,last,6,CSmin1
RS30,6,Extinction,Blue,first,7,CSmin2
RS30,6,Extinction,Yellow,first,7,CSplus
RS30,6,Extinction,Red,first,7,CSmin1
RS30,6,Extinction,Blue,last,7,CSmin2
RS30,6,Extinction,Yellow,last,7,CSplus
RS30,6,Extinction,Red,last,7,CSmin1
RS31,1,Pavlovian,Blue,first,3,CSplus
RS31,1,Pavlovian,Yellow,first,3,CSmin1
RS31,1,Pavlovian,Red,first,3,CSmin2
RS31,1,Pavlovian,Blue,last,2,CSplus
RS31,1,Pavlovian,Yellow,last,6,CSmin1
RS31,1,Pavlovian,Red,last,6,CSmin2
RS31,1,Extinction,Blue,first,3,CSplus
RS31,1,Extinction,Yellow,first,3,CSmin1
RS31,1,Extinction,Red,first,3,CSmin2
RS31,1,Extinction,Blue,last,6,CSplus
RS31,1,Extinction,Yellow,last,6,CSmin1
RS31,1,Extinction,Red,last,6,CSmin2
RS32,2,Pavlovian,Blue,first,3,CSmin2
RS32,2,Pavlovian,Yellow,first,5,CSmin1
RS32,2,Pavlovian,Red,first,2,CSplus
RS32,2,Pavlovian,Blue,last,7,CSmin2
RS32,2,Pavlovian,Yellow,last,7,CSmin1
RS32,2,Pavlovian,Red,last,1,CSplus
RS32,2,Extinction,Blue,first,7,CSmin2
RS32,2,Extinction,Yellow,first,7,CSmin1
RS32,2,Extinction,Red,first,1,CSplus
RS32,2,Extinction,Blue,last,6,CSmin2
RS32,2,Extinction,Yellow,last,5,CSmin1
RS32,2,Extinction,Red,last,7,CSplus
RS33,1,Pavlovian,Blue,first,4,CSplus
RS33,1,Pavlovian,Yellow,first,4,CSmin1
RS33,1,Pavlovian,Red,first,4,CSmin2
RS33,1,Pavlovian,Blue,last,1,CSplus
RS33,1,Pavlovian,Yellow,last,7,CSmin1
RS33,1,Pavlovian,Red,last,7,CSmin2
RS33,1,Extinction,Blue,first,2,CSplus
RS33,1,Extinction,Yellow,first,6,CSmin1
RS33,1,Extinction,Red,first,6,CSmin2
RS33,1,Extinction,Blue,last,7,CSplus
RS33,1,Extinction,Yellow,last,7,CSmin1
RS33,1,Extinction,Red,last,7,CSmin2
RS34,2,Pavlovian,Blue,first,4,CSmin2
RS34,2,Pavlovian,Yellow,first,4,CSmin1
RS34,2,Pavlovian,Red,first,4,CSplus
RS34,2,Pavlovian,Blue,last,6,CSmin2
RS34,2,Pavlovian,Yellow,last,6,CSmin1
RS34,2,Pavlovian,Red,last,2,CSplus
RS34,2,Extinction,Blue,first,4,CSmin2
RS34,2,Extinction,Yellow,first,4,CSmin1
RS34,2,Extinction,Red,first,4,CSplus
RS34,2,Extinction,Blue,last,6,CSmin2
RS34,2,Extinction,Yellow,last,6,CSmin1
RS34,2,Extinction,Red,last,6,CSplus
RS35,3,Pavlovian,Blue,first,5,CSmin1
RS35,3,Pavlovian,Yellow,first,4,CSmin2
RS35,3,Pavlovian,Red,first,3,CSplus
RS35,3,Pavlovian,Blue,last,7,CSmin1
RS35,3,Pavlovian,Yellow,last,7,CSmin2
RS35,3,Pavlovian,Red,last,1,CSplus
RS35,3,Extinction,Blue,first,7,CSmin1
RS35,3,Extinction,Yellow,first,7,CSmin2
RS35,3,Extinction,Red,first,1,CSplus
RS35,3,Extinction,Blue,last,7,CSmin1
RS35,3,Extinction,Yellow,last,7,CSmin2
RS35,3,Extinction,Red,last,7,CSplus
RS36,4,Pavlovian,Blue,first,7,CSmin1
RS36,4,Pavlovian,Yellow,first,5,CSplus
RS36,4,Pavlovian,Red,first,3,CSmin2
RS36,4,Pavlovian,Blue,last,7,CSmin1
RS36,4,Pavlovian,Yellow,last,1,CSplus
RS36,4,Pavlovian,Red,last,7,CSmin2
RS36,4,Extinction,Blue,first,3,CSmin1
RS36,4,Extinction,Yellow,first,3,CSplus
RS36,4,Extinction,Red,first,2,CSmin2
RS36,4,Extinction,Blue,last,5,CSmin1
RS36,4,Extinction,Yellow,last,6,CSplus
RS36,4,Extinction,Red,last,6,CSmin2
RS37,5,Pavlovian,Blue,first,7,CSplus
RS37,5,Pavlovian,Yellow,first,7,CSmin2
RS37,5,Pavlovian,Red,first,1,CSmin1
RS37,5,Pavlovian,Blue,last,1,CSplus
RS37,5,Pavlovian,Yellow,last,7,CSmin2
RS37,5,Pavlovian,Red,last,7,CSmin1
RS37,5,Extinction,Blue,first,1,CSplus
RS37,5,Extinction,Yellow,first,7,CSmin2
RS37,5,Extinction,Red,first,7,CSmin1
RS37,5,Extinction,Blue,last,7,CSplus
RS37,5,Extinction,Yellow,last,7,CSmin2
RS37,5,Extinction,Red,last,7,CSmin1
RS38,6,Pavlovian,Blue,first,5,CSmin2
RS38,6,Pavlovian,Yellow,first,4,CSplus
RS38,6,Pavlovian,Red,first,2,CSmin1
RS38,6,Pavlovian,Blue,last,7,CSmin2
RS38,6,Pavlovian,Yellow,last,1,CSplus
RS38,6,Pavlovian,Red,last,7,CSmin1
RS38,6,Extinction,Blue,first,4,CSmin2
RS38,6,Extinction,Yellow,first,5,CSplus
RS38,6,Extinction,Red,first,4,CSmin1
RS38,6,Extinction,Blue,last,7,CSmin2
RS38,6,Extinction,Yellow,last,7,CSplus
RS38,6,Extinction,Red,last,7,CSmin1
RS39,1,Pavlovian,Blue,first,4,CSplus
RS39,1,Pavlovian,Yellow,first,3,CSmin1
RS39,1,Pavlovian,Red,first,2,CSmin2
RS39,1,Pavlovian,Blue,last,1,CSplus
RS39,1,Pavlovian,Yellow,last,6,CSmin1
RS39,1,Pavlovian,Red,last,7,CSmin2
RS39,1,Extinction,Blue,first,1,CSplus
RS39,1,Extinction,Yellow,first,3,CSmin1
RS39,1,Extinction,Red,first,6,CSmin2
RS39,1,Extinction,Blue,last,7,CSplus
RS39,1,Extinction,Yellow,last,7,CSmin1
RS39,1,Extinction,Red,last,7,CSmin2
RS40,3,Pavlovian,Blue,first,6,CSmin1
RS40,3,Pavlovian,Yellow,first,5,CSmin2
RS40,3,Pavlovian,Red,first,1,CSplus
RS40,3,Pavlovian,Blue,last,7,CSmin1
RS40,3,Pavlovian,Yellow,last,7,CSmin2
RS40,3,Pavlovian,Red,last,1,CSplus
RS40,3,Extinction,Blue,first,2,CSmin1
RS40,3,Extinction,Yellow,first,2,CSmin2
RS40,3,Extinction,Red,first,3,CSplus
RS40,3,Extinction,Blue,last,7,CSmin1
RS40,3,Extinction,Yellow,last,7,CSmin2
RS40,3,Extinction,Red,last,7,CSplus
RS41,4,Pavlovian,Blue,first,6,CSmin1
RS41,4,Pavlovian,Yellow,first,2,CSplus
RS41,4,Pavlovian,Red,first,1,CSmin2
RS41,4,Pavlovian,Blue,last,7,CSmin1
RS41,4,Pavlovian,Yellow,last,1,CSplus
RS41,4,Pavlovian,Red,last,7,CSmin2
RS41,4,Extinction,Blue,first,3,CSmin1
RS41,4,Extinction,Yellow,first,6,CSplus
RS41,4,Extinction,Red,first,1,CSmin2
RS41,4,Extinction,Blue,last,7,CSmin1
RS41,4,Extinction,Yellow,last,7,CSplus
RS41,4,Extinction,Red,last,7,CSmin2
RS43,6,Pavlovian,Blue,first,5,CSmin2
RS43,6,Pavlovian,Yellow,first,5,CSplus
RS43,6,Pavlovian,Red,first,2,CSmin1
RS43,6,Pavlovian,Blue,last,6,CSmin2
RS43,6,Pavlovian,Yellow,last,2,CSplus
RS43,6,Pavlovian,Red,last,6,CSmin1
RS43,6,Extinction,Blue,first,3,CSmin2
RS43,6,Extinction,Yellow,first,5,CSplus
RS43,6,Extinction,Red,first,2,CSmin1
RS43,6,Extinction,Blue,last,5,CSmin2
RS43,6,Extinction,Yellow,last,5,CSplus
RS43,6,Extinction,Red,last,5,CSmin1
RS44,1,Pavlovian,Blue,first,3,CSplus
RS44,1,Pavlovian,Yellow,first,3,CSmin1
RS44,1,Pavlovian,Red,first,2,CSmin2
RS44,1,Pavlovian,Blue,last,1,CSplus
RS44,1,Pavlovian,Yellow,last,7,CSmin1
RS44,1,Pavlovian,Red,last,6,CSmin2
RS44,1,Extinction,Blue,first,1,CSplus
RS44,1,Extinction,Yellow,first,3,CSmin1
RS44,1,Extinction,Red,first,3,CSmin2
RS44,1,Extinction,Blue,last,5,CSplus
RS44,1,Extinction,Yellow,last,7,CSmin1
RS44,1,Extinction,Red,last,6,CSmin2
RS45,2,Pavlovian,Blue,first,6,CSmin2
RS45,2,Pavlovian,Yellow,first,6,CSmin1
RS45,2,Pavlovian,Red,first,2,CSplus
RS45,2,Pavlovian,Blue,last,7,CSmin2
RS45,2,Pavlovian,Yellow,last,7,CSmin1
RS45,2,Pavlovian,Red,last,1,CSplus
RS45,2,Extinction,Blue,first,6,CSmin2
RS45,2,Extinction,Yellow,first,3,CSmin1
RS45,2,Extinction,Red,first,2,CSplus
RS45,2,Extinction,Blue,last,7,CSmin2
RS45,2,Extinction,Yellow,last,7,CSmin1
RS45,2,Extinction,Red,last,7,CSplus
RS46,3,Pavlovian,Blue,first,2,CSmin1
RS46,3,Pavlovian,Yellow,first,3,CSmin2
RS46,3,Pavlovian,Red,first,2,CSplus
RS46,3,Pavlovian,Blue,last,7,CSmin1
RS46,3,Pavlovian,Yellow,last,7,CSmin2
RS46,3,Pavlovian,Red,last,1,CSplus
RS46,3,Extinction,Blue,first,3,CSmin1
RS46,3,Extinction,Yellow,first,3,CSmin2
RS46,3,Extinction,Red,first,2,CSplus
RS46,3,Extinction,Blue,last,6,CSmin1
RS46,3,Extinction,Yellow,last,6,CSmin2
RS46,3,Extinction,Red,last,6,CSplus
RS47,4,Pavlovian,Blue,first,2,CSmin1
